Mach	Beta	AoA	Force_X	Force_Y	Force_Z	CM_X	CM_Y	CM_Z	Cl	Cd	CM_Z_coeff
1.5	0	0	693.4890952380952	0.0371338571428571	0.1838625238095238	-0.0386954571428571	-0.3372560476190476	0.1098414761904762	7.42699761904762e-05	1.3870219047619046	5.8827114285714286e-05
1.5	0	1	694.2242976190475	891.882850392857	0.1668167499999999	-0.0350056428571428	-0.2709114642857142	1700.781071583333	1.755185107244048	1.512072976190476	0.9108766203357144
1.5	0	2	694.9594999999999	1783.7285669285711	0.1497709761904761	-0.0313158285714285	-0.2045668809523809	3401.4523016904755	3.5102959445119053	1.6371240476190474	1.8216944135571431
1.5	0	3	695.6947023809524	2675.574283464285	0.1327252023809523	-0.0276260142857142	-0.1382222976190475	5102.123531797619	5.265406781779763	1.762175119047619	2.732512206778572
1.5	0	4	696.4299047619048	3567.419999999999	0.1156794285714285	-0.0239362	-0.0718777142857142	6802.794761904761	7.02051761904762	1.8872261904761904	3.6433300000000006
1.5	0	5	698.6241785714287	4448.782499999999	0.078372219047619	-0.0207802238095238	-0.0161762976190475	8494.67107142857	8.728338214285715	2.2581871428571434	4.549431547619048
1.5	0	6	700.8184523809525	5330.144999999999	0.0410650095238094	-0.0176242476190476	0.039525119047619	10186.547380952376	10.43615880952381	2.6291480952380963	5.455533095238096
1.5	0	7	703.0127261904763	6211.507499999998	0.0037577999999999	-0.0144682714285714	0.0952265357142857	11878.423690476186	12.143979404761906	3.000109047619049	6.361634642857143
1.5	0	8	705.2070000000002	7092.869999999998	-0.0335494095238095	-0.0113122952380952	0.1509279523809523	13570.299999999994	13.8518	3.371070000000002	7.267736190476191
1.5	0	9	703.7995000000001	7951.927499999999	0.0129673238095238	-0.0023408595238095	0.0136102619047618	15284.624999999996	15.4658	3.9650550000000018	8.185877142857144
1.5	0	10	702.392	8810.985	0.0594840571428571	0.0066305761904762	-0.1237074285714286	16998.949999999993	17.0798	4.559040000000002	9.104018095238096
1.5	0	12	699.5769999999998	10529.100000000002	0.1525175238095238	0.0245734476190476	-0.3983428095238095	20427.599999999995	20.3078	5.747010000000002	10.940300000000004
