Mach	Beta	AoA	Force_X	Force_Y	Force_Z	CM_X	CM_Y	CM_Z	Cl	Cd	CM_Z_coeff
1.5	0	0	1081.72	-0.2600587142857143	-0.0813060619047619	0.0341827333333333	0.2720478571428571	-0.3689663809523809	-0.0004010979047619	1.66837	-0.0001539983809523
1.5	0	1	1081.8525	1010.4724559642856	-0.0883427249999999	0.0430424654761904	0.2791540595238095	2193.0179180714285	1.5255791765714288	1.7762924999999998	0.9153170012142856
1.5	0	2	1081.985	2021.2049706428568	-0.095379388095238	0.0519021976190476	0.2862602619047619	4386.404802523809	3.05155945104762	1.884215	1.830788000809524
1.5	0	3	1082.1175	3031.937485321428	-0.1024160511904761	0.0607619297619047	0.2933664642857143	6579.79168697619	4.577539725523811	1.9921375	2.746259000404762
1.5	0	4	1082.25	4042.669999999999	-0.1094527142857142	0.0696216619047619	0.3004726666666667	8773.17857142857	6.103520000000001	2.10006	3.66173
1.5	0	5	1080.165	5033.487499999999	-0.1356242499999999	0.0775335202380952	0.3516031904761905	10908.033928571427	7.57694	2.414719642857143	4.5527725
1.5	0	6	1078.08	6024.304999999999	-0.1617957857142856	0.0854453785714285	0.4027337142857142	13042.889285714282	9.050359999999998	2.729379285714286	5.443814999999999
1.5	0	7	1075.995	7015.1225	-0.1879673214285713	0.0933572369047618	0.453864238095238	15177.744642857138	10.523779999999997	3.044038928571428	6.334857499999998
1.5	0	8	1073.91	8005.94	-0.2141388571428571	0.1012690952380952	0.5049947619047618	17312.599999999995	11.997199999999996	3.358698571428571	7.225899999999998
1.5	0	9	1067.2164285714289	8941.355000000001	-0.2337793214285713	0.1019319999999999	0.5094024285714285	19327.649999999998	13.344649999999998	3.8557327380952375	8.066925
1.5	0	10	1060.5228571428574	9876.770000000002	-0.2534197857142856	0.1025949047619047	0.5138100952380951	21342.699999999997	14.692099999999998	4.352766904761904	8.90795
1.5	0	12	1047.1357142857146	11747.600000000004	-0.2927007142857142	0.1039207142857143	0.5226254285714285	25372.799999999992	17.387	5.346835238095236	10.590000000000002
1.5	0	14	1022.3325000000002	13535.300000000005	-0.3908332857142856	0.1139848333333333	0.6494251190476189	29200.85	19.840300000000006	6.6699747619047605	12.187750000000005
1.5	0	15	1009.930892857143	14429.15	-0.4398995714285714	0.1190168928571428	0.7128249642857141	31114.875000000004	21.06695000000001	7.331544523809523	12.986625000000007
1.5	0	16	997.5292857142858	15323.0	-0.4889658571428572	0.1240489523809524	0.7762248095238093	33028.90000000001	22.29360000000001	7.9931142857142845	13.785500000000008
1.5	0	18	973.1500714285714	17119.0	-0.4755104523809523	0.0706823952380952	0.7310194761904761	36716.40000000001	24.60350000000001	9.673007142857143	15.324600000000004
1.5	0	19	960.9604642857144	18017.0	-0.4687827499999999	0.0439991166666666	0.7084168095238095	38560.15000000001	25.75845000000001	10.512953571428572	16.09415
1.5	0	20	948.7708571428572	18915.0	-0.4620550476190476	0.0173158380952381	0.6858141428571429	40403.90000000001	26.913400000000014	11.352900000000004	16.863699999999998
1.5	0	21	943.2977619047618	19674.16904761905	-0.5618820214285715	-0.0071261264285714	1.1287639441666666	41984.69285714287	27.77212976190477	12.283875000000002	17.52348333333333
1.5	0	22	937.8246666666666	20433.338095238098	-0.6617089952380952	-0.0315680909523809	1.5717137454761905	43565.48571428572	28.630859523809526	13.214850000000002	18.183266666666665
1.5	0	23	932.3515714285712	21192.507142857143	-0.7615359690476191	-0.0560100554761904	2.014663546785714	45146.278571428586	29.48958928571428	14.145825000000002	18.84305
1.5	0	24	926.878476190476	21951.67619047619	-0.861362942857143	-0.08045202	2.457613348095238	46727.07142857144	30.34831904761904	15.0768	19.50283333333333
1.5	0	25	919.3225952380952	22635.836904761905	-0.4259546714285716	0.238794911190476	0.8531475825000001	48211.25000000001	31.004077380952378	16.081964285714285	20.12229761904761
1.5	0	26	911.7667142857142	23319.99761904762	0.0094535999999998	0.5580418423809522	-0.7513181830952376	49695.42857142857	31.659835714285716	17.087128571428572	20.7417619047619
1.5	0	27	904.2108333333332	24004.158333333333	0.4448618714285712	0.8772887735714283	-2.355783948690475	51179.60714285714	32.31559404761905	18.09229285714285	21.361226190476188
1.5	0	28	896.6549523809524	24688.319047619047	0.8802701428571428	1.1965357047619043	-3.960249714285713	52663.7857142857	32.97135238095239	19.09745714285714	21.98069047619047
1.5	0	29	889.1147857142857	25300.320238095235	35.69759546428571	9.844651778571428	-88.70994919047618	54054.46309523808	33.42487142857144	20.151152380952382	22.56112976190476
1.5	0	30	881.5746190476191	25912.321428571428	70.51492078571428	18.49276785238095	-173.45964866666665	55445.14047619046	33.87839047619048	21.20484761904762	23.141569047619043
1.5	0	31	874.0344523809523	26524.32261904762	105.33224610714284	27.140883926190472	-258.20934814285715	56835.81785714284	34.33190952380953	22.258542857142857	23.722008333333328
1.5	0	32	866.4942857142856	27136.32380952381	140.14957142857142	35.789	-342.9590476190476	58226.49523809522	34.785428571428575	23.312238095238097	24.302447619047616
1.5	0	37	870.630892857143	29731.89404761904	-2.872530726190476	-0.8806318690476191	6.673910964285716	63944.94642857143	35.77535595238096	28.68680833333333	26.68918928571429
1.5	0	38	862.5695952380953	30205.073809523805	-1.6087627857142857	-0.9944286428571432	4.281600642857144	65005.35476190476	35.838969047619045	29.75235476190476	27.131778571428576
1.5	0	39	854.5082976190477	30678.25357142857	-0.3449948452380953	-1.108225416666667	1.889290321428572	66065.7630952381	35.90258214285714	30.817901190476192	27.57436785714286
1.5	0	40	846.4470000000001	31151.43333333333	0.9187730952380958	-1.222022190476191	-0.5030200000000012	67126.17142857143	35.96619523809524	31.883447619047622	28.016957142857148
1.5	0	41	833.6826785714287	31495.22976190476	0.5650055357142861	0.2565201428571424	1.085266190476189	67906.42976190476	35.78337380952381	32.84542619047619	28.342621428571437
1.5	0	42	820.9183571428573	31839.02619047619	0.2112379761904764	1.7350624761904758	2.67355238095238	68686.68809523809	35.60055238095238	33.80740476190476	28.66828571428572
1.5	0	43	808.1540357142858	32182.82261904762	-0.1425295833333332	3.213604809523809	4.261838571428571	69466.94642857142	35.41773095238095	34.76938333333333	28.993950000000005
1.5	0	44	795.3897142857144	32526.61904761905	-0.4962971428571429	4.692147142857142	5.850124761904762	70247.20476190475	35.23490952380952	35.7313619047619	29.31961428571429
1.5	0	45	790.0370238095238	32795.25	1.666519938095238	4.885992726190476	-0.7373644047619061	70852.34404761904	34.8737	36.626441666666665	29.57218571428572
1.5	0	46	784.6843333333334	33063.880952380954	3.829337019047619	5.079838309523809	-7.324853571428574	71457.48333333334	34.51249047619048	37.52152142857143	29.824757142857152
1.5	0	48	773.9789523809524	33601.14285714286	8.15497118095238	5.467529476190475	-20.49983190476191	72667.76190476191	33.79007142857143	39.31168095238096	30.32990000000001
1.5	0	49	763.2095952380953	33867.04523809524	7.459153266666665	8.47881269047619	-6.5023413095238105	73276.58452380952	33.349510714285714	40.189957142857146	30.584008333333344
1.5	0	50	752.4402380952381	34132.94761904763	6.763335352380951	11.490095904761905	7.495149285714287	73885.40714285715	32.908950000000004	41.06823333333333	30.838116666666675
1.5	0	51	741.6708809523809	34398.850000000006	6.067517438095237	14.50137911904762	21.492639880952385	74494.22976190476	32.468389285714295	41.94650952380952	31.09222500000001
1.5	0	52	730.9015238095238	34664.752380952385	5.371699523809522	17.512662333333335	35.49013047619048	75103.05238095237	32.02782857142858	42.8247857142857	31.34633333333334
1.5	0	53	715.4624166666667	34894.71071428571	4.921329999999998	12.463701410714286	23.251831785714288	75574.1738095238	31.47956785714286	43.637961904761895	31.542970238095243
1.5	0	54	700.0233095238095	35124.66904761905	4.470960476190474	7.414740488095239	11.013533095238095	76045.29523809522	30.931307142857143	44.45113809523809	31.739607142857142
1.5	0	56	669.1450952380953	35584.58571428571	3.5702214285714264	-2.683181357142857	-13.463064285714289	76987.53809523808	29.83478571428571	46.07749047619048	32.13288095238095
1.5	0	57	655.8595476190477	35834.43452380953	-12.548777261904764	-9.80412851785714	18.650042154761906	77537.34285714285	29.223486904761906	46.89320476190477	32.36235714285714
1.5	0	58	642.5740000000001	36084.28333333334	-28.667775952380957	-16.925075678571424	50.7631485952381	78087.14761904761	28.612188095238096	47.70891904761905	32.59183333333334
1.5	0	59	629.2884523809524	36334.13214285715	-44.78677464285714	-24.04602283928571	82.87625503571428	78636.95238095237	28.000889285714287	48.52463333333333	32.82130952380953
1.5	0	60	616.0029047619048	36583.98095238096	-60.905773333333336	-31.166969999999992	114.98936147619048	79186.75714285714	27.38959047619048	49.34034761904761	33.05078571428572
1.5	10	0	1117.8300000000004	-0.3549613333333333	7530.570000000004	-0.1809319047619047	-15905.4	-0.0553386666666666	-0.0005474695714285	3.714740000000001	-2.309712380952381e-05
1.5	10	3	1109.0925000000002	2822.978759666665	7513.012500000003	-56.04998297619048	-15941.4	6446.701165333332	4.254118132607144	3.99281357142857	2.690709225719048
1.5	10	7	1068.7867857142855	6617.0075	7375.754642857142	-37.227428571428575	-15915.649999999996	14914.879999999996	9.917084999999997	4.885609761904761	6.2251475
1.5	10	8	1056.3223809523809	7567.98	7331.952857142856	-24.74557142857143	-15903.066666666662	17021.299999999996	11.331999999999995	5.152311428571428	7.104323333333334
1.5	10	10	1034.7657142857142	9423.44	7271.58142857143	-13.296325476190477	-15966.797619047618	20974.55714285714	14.011400000000002	6.075417380952381	8.75431166666667
1.5	10	12	1013.2090476190476	11278.899999999996	7211.210000000002	-1.847079523809524	-16030.528571428573	24927.81428571428	16.690800000000007	6.998523333333333	10.404300000000005
1.5	10	14	1003.201023809524	13091.290476190474	7229.669523809525	21.87906261904762	-16214.366666666669	28604.961904761905	19.18228095238096	8.314770952380952	11.939071428571433
1.5	10	17	981.3883809523812	15742.414285714283	7249.711904761906	81.97211785714285	-16393.492857142857	33978.01428571429	22.74621785714286	10.417856785714283	14.181673809523812
1.5	10	18	969.583761904762	16581.14761904762	7251.294761904764	118.33903095238094	-16388.780952380952	35673.919047619056	23.81867380952381	11.204695	14.889504761904764
1.5	10	19	957.7791428571428	17419.880952380954	7252.877619047621	154.70594404761903	-16384.069047619047	37369.82380952381	24.89112976190476	11.991533214285717	15.597335714285716
1.5	10	20	945.9745238095238	18258.614285714288	7254.460476190478	191.07285714285712	-16379.357142857143	39065.728571428575	25.96358571428571	12.77837142857143	16.30516666666667
1.5	10	21	936.677011904762	19052.09880952381	7193.2591666666685	265.394369047619	-16203.675	40742.47142857143	26.879748809523807	13.678594047619049	17.005000000000003
1.5	10	22	927.3795	19845.583333333336	7132.057857142858	339.715880952381	-16027.99285714286	42419.21428571429	27.7959119047619	14.578816666666668	17.704833333333333
1.5	10	23	918.081988095238	20639.067857142854	7070.856547619047	414.0373928571429	-15852.31071428572	44095.95714285714	28.712075	15.479039285714286	18.404666666666667
1.5	10	24	908.784476190476	21432.55238095238	7009.655238095237	488.3589047619048	-15676.628571428577	45772.7	29.628238095238096	16.379261904761904	19.1045
1.5	10	25	903.1553333333331	22200.67380952381	6936.033214285714	537.170369047619	-15435.81666666667	47453.07261904762	30.40349642857143	17.39974404761905	19.80584880952381
1.5	10	26	897.5261904761904	22968.79523809524	6862.41119047619	585.9818333333333	-15195.004761904764	49133.44523809524	31.178754761904763	18.420226190476196	20.50719761904762
1.5	10	27	891.8970476190477	23736.916666666668	6788.789166666667	634.7932976190476	-14954.192857142858	50813.81785714287	31.954013095238096	19.440708333333337	21.20854642857143
1.5	10	28	886.2679047619049	24505.0380952381	6715.167142857144	683.6047619047619	-14713.38095238095	52494.19047619049	32.72927142857143	20.46119047619048	21.90989523809524
