Mach	Beta	AoA	Force_X	Force_Y	Force_Z	CM_X	CM_Y	CM_Z	Cl	Cd	CM_Z_coeff
1.5	0	0	767.6162857142857	0.1194918095238095	-0.0134268571428571	0.0201956666666666	0.0298291619047618	0.4229848095238094	0.0002864944761904	1.8404428571428573	0.0003218709523809
1.5	0	1	768.651988095238	708.7177140952382	-0.0342032178571428	0.0474889404761904	0.0672685499999999	1409.783548130952	1.6628198708571424	1.9603161904761908	1.0727764032142852
1.5	0	2	769.6876904761905	1417.3159363809527	-0.0549795785714285	0.0747822142857142	0.104707938095238	2819.1441114523805	3.3253532472380942	2.080189523809524	2.1452309354761896
1.5	0	3	770.7233928571429	2125.914158666667	-0.0757559392857142	0.102075488095238	0.1421473261904761	4228.504674773809	4.987886623619047	2.200062857142857	3.217685467738094
1.5	0	4	771.7590952380953	2834.5123809523816	-0.0965323	0.1293687619047619	0.1795867142857142	5637.865238095237	6.650419999999999	2.3199361904761906	4.290139999999998
1.5	0	5	783.5614285714286	3603.6342857142863	-0.1810453202380952	0.1749982619047618	0.2509623095238095	7153.348928571427	8.428064999999998	2.7191642857142853	5.443358571428569
1.5	0	6	795.363761904762	4372.756190476191	-0.2655583404761904	0.2206277619047618	0.3223379047619047	8668.832619047616	10.20571	3.11839238095238	6.596577142857141
1.5	0	7	807.1660952380953	5141.878095238095	-0.3500713607142857	0.2662572619047618	0.3937134999999999	10184.316309523803	11.983355	3.517620476190475	7.749795714285712
1.5	0	8	818.9684285714286	5911.0	-0.4345843809523809	0.3118867619047618	0.4650890952380952	11699.799999999996	13.761	3.9168485714285697	8.903014285714283
1.5	0	9	820.8967380952381	6564.745000000001	-0.7275429285714285	0.4840326904761903	0.596964	12981.449999999995	15.216525	4.484852142857142	9.878260714285712
1.5	0	10	822.8250476190476	7218.490000000001	-1.020501476190476	0.6561786190476189	0.7288389047619048	14263.1	16.67205	5.052855714285714	10.85350714285714
1.5	0	12	826.6816666666667	8525.980000000001	-1.6064185714285713	1.000470476190476	0.9925887142857144	16826.400000000005	19.5831	6.188862857142858	12.803999999999998
1.5	0	14	813.5857619047619	9666.240000000002	-2.828857142857143	1.4457016666666669	0.6836780476190476	19046.550000000003	21.98005000000001	7.587726428571431	14.49345
1.5	0	15	807.0378095238094	10236.37	-3.440076428571429	1.668317261904762	0.5292227142857142	20156.625000000004	23.178525000000008	8.287158214285718	15.338175
1.5	0	16	800.489857142857	10806.5	-4.051295714285715	1.8909328571428576	0.3747673809523809	21266.700000000004	24.37700000000001	8.986590000000003	16.1829
1.5	0	18	769.4557380952381	11947.149999999998	-5.600975952380952	2.3631683333333338	2.699456547619048	23354.35	26.629252380952387	10.691337857142855	17.77155
1.5	0	19	753.9386785714286	12517.474999999997	-6.37581607142857	2.599286071428572	3.861801130952381	24398.175000000003	27.75537857142857	11.543711785714285	18.565875
1.5	0	20	738.4216190476191	13087.799999999996	-7.150656190476189	2.83540380952381	5.024145714285715	25442.0	28.88150476190476	12.39608571428571	19.360200000000003
1.5	0	21	727.5682857142857	13605.874999999996	-9.09473976190476	3.348598571428572	7.650489047619049	26400.760714285712	29.79307857142857	13.373659523809522	20.08975
1.5	0	22	716.7149523809524	14123.949999999995	-11.038823333333331	3.861793333333334	10.27683238095238	27359.521428571425	30.70465238095237	14.351233333333331	20.8193
1.5	0	23	705.8616190476191	14642.025	-12.982906904761904	4.374988095238096	12.903175714285716	28318.28214285714	31.616226190476183	15.32880714285714	21.548849999999995
1.5	0	24	695.0082857142858	15160.1	-14.926990476190475	4.888182857142858	15.529519047619049	29277.042857142853	32.52779999999999	16.30638095238095	22.27839999999999
1.5	0	25	688.4744523809525	15633.663095238097	-16.432040476190476	4.521804523809524	19.058859523809527	30202.423809523803	33.23347142857142	17.38290476190476	22.98257142857142
1.5	0	26	681.9406190476191	16107.22619047619	-17.937090476190477	4.155426190476191	22.588200000000004	31127.80476190476	33.939142857142855	18.45942857142857	23.68674285714285
1.5	0	27	675.4067857142858	16580.789285714287	-19.44214047619048	3.7890478571428576	26.117540476190484	32053.185714285708	34.64481428571428	19.535952380952388	24.39091428571428
1.5	0	28	668.8729523809525	17054.352380952383	-20.94719047619048	3.422669523809524	29.64688095238096	32978.56666666666	35.35048571428571	20.6124761904762	25.09508571428571
1.5	0	29	665.0779285714286	17451.015476190478	-20.135522500000004	3.8381689285714287	27.12661497619048	33736.93928571428	35.78084761904761	21.71267023809524	25.672177380952377
1.5	0	30	661.2829047619048	17847.678571428572	-19.32385452380953	4.253668333333334	24.606349000000005	34495.3119047619	36.21120952380952	22.81286428571429	26.249269047619045
1.5	0	31	657.4878809523808	18244.341666666664	-18.51218654761905	4.669167738095238	22.08608302380953	35253.68452380952	36.641571428571424	23.91305833333334	26.82636071428572
1.5	0	32	653.692857142857	18641.00476190476	-17.700518571428574	5.084667142857143	19.56581704761905	36012.05714285714	37.07193333333333	25.013252380952384	27.403452380952384
1.5	0	37	628.4546904761904	19627.13571428572	-39.36578095238096	-0.2817781523809523	64.46168785714286	37492.3011904762	36.6430630952381	29.53318928571429	28.529822619047614
1.5	0	38	614.0079523809522	19850.47619047619	-34.58051857142858	-0.9442028952380952	57.29985666666667	37895.99285714286	36.55454047619048	30.474011904761905	28.8370119047619
1.5	0	39	599.5612142857142	20073.816666666666	-29.79525619047619	-1.606627638095238	50.13802547619048	38299.68452380953	36.46601785714286	31.41483452380952	29.14420119047619
1.5	0	40	585.1144761904761	20297.15714285714	-25.00999380952381	-2.269052380952381	42.976194285714286	38703.37619047619	36.37749523809524	32.35565714285714	29.451390476190475
1.5	0	41	576.3795833333334	20512.246428571427	-119.61362630952384	-43.3660869047619	247.8045385714285	39128.73333333334	36.17660000000001	33.31352023809524	29.775067857142854
1.5	0	42	567.6446904761905	20727.335714285717	-214.21725880952388	-84.46312142857141	452.6328828571427	39554.09047619048	35.975704761904765	34.27138333333333	30.09874523809524
1.5	0	43	558.9097976190476	20942.425000000003	-308.8208913095239	-125.56015595238094	657.461227142857	39979.44761904762	35.77480952380952	35.22924642857142	30.422422619047616
1.5	0	44	550.1749047619048	21157.51428571429	-403.4245238095239	-166.65719047619046	862.2895714285712	40404.804761904765	35.57391428571429	36.18710952380952	30.7461
1.5	0	45	546.1422261904762	21345.83928571429	-331.3467392857144	-130.83425749999998	704.9207023809522	40780.05	35.23049880952381	37.11453095238095	31.03164523809524
1.5	0	46	542.1095476190476	21534.164285714287	-259.26895476190487	-95.01132452380952	547.5518333333332	41155.29523809525	34.88708333333334	38.04195238095238	31.31719047619048
1.5	0	48	534.0441904761905	21910.814285714285	-115.11338571428574	-23.36545857142857	232.8140952380952	41905.785714285725	34.200252380952385	39.89679523809524	31.88828095238096
1.5	0	49	531.8528809523809	22091.546428571422	-100.95148571428574	-25.32261845238095	194.6037951190476	42226.02261904762	33.754577380952384	40.80714642857143	32.13196547619048
1.5	0	50	529.6615714285715	22272.27857142857	-86.78958571428572	-27.279778333333333	156.39349499999997	42546.25952380952	33.308902380952375	41.71749761904762	32.37565
1.5	0	51	527.470261904762	22453.010714285712	-72.62768571428572	-29.23693821428572	118.18319488095236	42866.49642857143	32.863227380952374	42.62784880952382	32.61933452380952
1.5	0	52	525.2789523809524	22633.742857142854	-58.46578571428571	-31.1940980952381	79.97289476190475	43186.73333333333	32.41755238095237	43.53820000000001	32.86301904761904
1.5	0	53	523.2016904761905	22794.98809523809	-26.16020678571428	-19.74635785714286	9.53167239285716	43477.925	31.85885952380952	44.39474404761906	33.084603571428566
1.5	0	54	521.1244285714286	22956.23333333333	6.145372142857148	-8.298617619047622	-60.90954997619043	43769.11666666666	31.300166666666662	45.251288095238095	33.3061880952381
1.5	0	56	516.9699047619048	23278.72380952381	70.75653	14.596862857142858	-201.79199471428564	44351.49999999999	30.18278095238096	46.96437619047619	33.74935714285715
1.5	0	57	509.9027023809524	23433.066666666666	54.13845547619047	12.031583690476191	-158.5929790119047	44623.598809523806	29.545082142857147	47.7741369047619	33.956408333333336
1.5	0	58	502.8355	23587.409523809525	37.52038095238096	9.466304523809525	-115.39396330952376	44895.69761904762	28.907383333333332	48.58389761904762	34.16345952380952
1.5	0	59	495.7682976190477	23741.752380952385	20.90230642857144	6.901025357142858	-72.19494760714284	45167.79642857143	28.26968452380952	49.393658333333335	34.370510714285714
1.5	0	60	488.7010952380953	23896.09523809524	4.284231904761904	4.335746190476191	-28.995931904761907	45439.89523809525	27.631985714285708	50.20341904761905	34.5775619047619
1.5	10	0	790.2350952380955	0.0705866333333333	9105.410000000002	0.0132299857142857	-18293.200000000004	0.4243846666666666	0.0001692389999999	5.65683380952381	0.0003229361904761
1.5	10	3	780.0534166666666	1986.8651466583333	9015.589999999998	-2.307387860714285	-18163.675000000003	4076.793596166666	4.654692309749999	5.9192959523809545	3.10224430547619
